2019-11-18 00:38:58.165 TRACE 6772 --- [main] o.s.c.e.PropertySourcesPropertyResolver  : Could not find key 'spring.banner.image.location' in any property source
2019-11-18 00:38:58.167 TRACE 6772 --- [main] o.s.c.e.PropertySourcesPropertyResolver  : Searching for key 'spring.banner.location' in PropertySource 'configurationProperties'
2019-11-18 00:38:58.168 TRACE 6772 --- [main] o.s.c.e.PropertySourcesPropertyResolver  : Searching for key 'spring.banner.location' in PropertySource 'commandLineArgs'
2019-11-18 00:38:58.168 TRACE 6772 --- [main] o.s.c.e.PropertySourcesPropertyResolver  : Searching for key 'spring.banner.location' in PropertySource 'servletConfigInitParams'
2019-11-18 00:38:58.168 TRACE 6772 --- [main] o.s.c.e.PropertySourcesPropertyResolver  : Searching for key 'spring.banner.location' in PropertySource 'servletContextInitParams'
2019-11-18 00:38:58.169 TRACE 6772 --- [main] o.s.c.e.PropertySourcesPropertyResolver  : Searching for key 'spring.banner.location' in PropertySource 'systemProperties'
2019-11-18 00:38:58.169 TRACE 6772 --- [main] o.s.c.e.PropertySourcesPropertyResolver  : Searching for key 'spring.banner.location' in PropertySource 'systemEnvironment'
2019-11-18 00:38:58.169 TRACE 6772 --- [main] o.s.c.e.PropertySourcesPropertyResolver  : Searching for key 'spring.banner.location' in PropertySource 'random'
2019-11-18 00:38:58.169 TRACE 6772 --- [main] o.s.c.e.PropertySourcesPropertyResolver  : Searching for key 'spring.banner.location' in PropertySource 'applicationConfig: [classpath:/application.properties]'
2019-11-18 00:38:58.169 TRACE 6772 --- [main] o.s.c.e.PropertySourcesPropertyResolver  : Could not find key 'spring.banner.location' in any property source
2019-11-18 00:38:58.173 DEBUG 6772 --- [background-preinit] o.h.v.i.engine.ValidatorFactoryImpl      : HV000234: Using org.hibernate.validator.messageinterpolation.ResourceBundleMessageInterpolator as ValidatorFactory-scoped message interpolator.
2019-11-18 00:38:58.173 DEBUG 6772 --- [background-preinit] o.h.v.i.engine.ValidatorFactoryImpl      : HV000234: Using org.hibernate.validator.internal.engine.resolver.TraverseAllTraversableResolver as ValidatorFactory-scoped traversable resolver.
2019-11-18 00:38:58.174 DEBUG 6772 --- [background-preinit] o.h.v.i.engine.ValidatorFactoryImpl      : HV000234: Using org.hibernate.validator.internal.util.ExecutableParameterNameProvider as ValidatorFactory-scoped parameter name provider.
2019-11-18 00:38:58.174 DEBUG 6772 --- [background-preinit] o.h.v.i.engine.ValidatorFactoryImpl      : HV000234: Using org.hibernate.validator.internal.engine.DefaultClockProvider as ValidatorFactory-scoped clock provider.
2019-11-18 00:38:58.174 DEBUG 6772 --- [background-preinit] o.h.v.i.engine.ValidatorFactoryImpl      : HV000234: Using org.hibernate.validator.internal.engine.scripting.DefaultScriptEvaluatorFactory as ValidatorFactory-scoped script evaluator factory.
2019-11-18 00:38:58.225 TRACE 6772 --- [main] o.s.c.a.ClassPathBeanDefinitionScanner   : JSR-250 'javax.annotation.ManagedBean' found and supported for component scanning
2019-11-18 00:38:58.249 TRACE 6772 --- [main] o.s.c.e.PropertySourcesPropertyResolver  : Searching for key 'context.initializer.classes' in PropertySource 'configurationProperties'
2019-11-18 00:38:58.250 TRACE 6772 --- [main] o.s.c.e.PropertySourcesPropertyResolver  : Searching for key 'context.initializer.classes' in PropertySource 'commandLineArgs'
2019-11-18 00:38:58.250 TRACE 6772 --- [main] o.s.c.e.PropertySourcesPropertyResolver  : Searching for key 'context.initializer.classes' in PropertySource 'servletConfigInitParams'
2019-11-18 00:38:58.250 TRACE 6772 --- [main] o.s.c.e.PropertySourcesPropertyResolver  : Searching for key 'context.initializer.classes' in PropertySource 'servletContextInitParams'
2019-11-18 00:38:58.251 TRACE 6772 --- [main] o.s.c.e.PropertySourcesPropertyResolver  : Searching for key 'context.initializer.classes' in PropertySource 'systemProperties'
2019-11-18 00:38:58.251 TRACE 6772 --- [main] o.s.c.e.PropertySourcesPropertyResolver  : Searching for key 'context.initializer.classes' in PropertySource 'systemEnvironment'
2019-11-18 00:38:58.251 TRACE 6772 --- [main] o.s.c.e.PropertySourcesPropertyResolver  : Searching for key 'context.initializer.classes' in PropertySource 'random'
2019-11-18 00:38:58.251 TRACE 6772 --- [main] o.s.c.e.PropertySourcesPropertyResolver  : Searching for key 'context.initializer.classes' in PropertySource 'applicationConfig: [classpath:/application.properties]'
2019-11-18 00:38:58.251 TRACE 6772 --- [main] o.s.c.e.PropertySourcesPropertyResolver  : Could not find key 'context.initializer.classes' in any property source
2019-11-18 00:38:58.253 TRACE 6772 --- [main] o.s.c.e.PropertySourcesPropertyResolver  : Searching for key 'spring.application.name' in PropertySource 'configurationProperties'
2019-11-18 00:38:58.254 TRACE 6772 --- [main] o.s.c.e.PropertySourcesPropertyResolver  : Searching for key 'spring.application.name' in PropertySource 'commandLineArgs'
2019-11-18 00:38:58.266 TRACE 6772 --- [main] o.s.c.e.PropertySourcesPropertyResolver  : Searching for key 'spring.application.name' in PropertySource 'servletConfigInitParams'
2019-11-18 00:38:58.266 TRACE 6772 --- [main] o.s.c.e.PropertySourcesPropertyResolver  : Searching for key 'spring.application.name' in PropertySource 'servletContextInitParams'
2019-11-18 00:38:58.266 TRACE 6772 --- [main] o.s.c.e.PropertySourcesPropertyResolver  : Searching for key 'spring.application.name' in PropertySource 'systemProperties'
2019-11-18 00:38:58.267 TRACE 6772 --- [main] o.s.c.e.PropertySourcesPropertyResolver  : Searching for key 'spring.application.name' in PropertySource 'systemEnvironment'
2019-11-18 00:38:58.267 TRACE 6772 --- [main] o.s.c.e.PropertySourcesPropertyResolver  : Searching for key 'spring.application.name' in PropertySource 'random'
2019-11-18 00:38:58.267 TRACE 6772 --- [main] o.s.c.e.PropertySourcesPropertyResolver  : Searching for key 'spring.application.name' in PropertySource 'applicationConfig: [classpath:/application.properties]'
2019-11-18 00:38:58.267 TRACE 6772 --- [main] o.s.c.e.PropertySourcesPropertyResolver  : Could not find key 'spring.application.name' in any property source
2019-11-18 00:38:58.272 TRACE 6772 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Returning cached instance of singleton bean 'autoConfigurationReport'
